ID,Name,Delivery Time,Global Categories,Instagram,URL Instagram,Languages,English Level,Other (Languages),Location Types,Min Price KRW(per hour & starting from),Response Speed,Style,Style (Other)
S01011,Aungvara Nomnunthasab,2-3 days,"Couple / Love Story, Event / Party, Family, Fashion / Editorial, Individual / Portrait, Street / Lifestyle, Wedding / Engagement",@kirakiraang,https://www.instagram.com/photographed_by_kirakiraang?igsh=MTY5anNpNmFvazk4bQ%3D%3D&utm_source=qr,English,Fluent,"Thai, Japanese ","Historical / Landmarks, Nature / Parks, Outdoor / City etc","₩150,000",1–3 hours,,"Portrait 
Candit photo"
S01012,Seok Park,2 weeks,"Branding, Fashion / Editorial, Individual / Portrait",@studiopopopo,https://www.instagram.com/studiopopopo/,"English, Korean",Fluent,Nothing,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩40,000",3–6 hours,,"Modeling pola/digital
Analog works
concept building, art direction"
S01013,Dmitriy Bush,1 week,"Business / Branding, Event / Party, Family, Fashion / Editorial, Individual / Portrait, Sports",@Integrokr,https://www.instagram.com/integro.kr,"English, Korean",Fluent,Russian,"Historical / Landmarks, Indoor / Studio, Outdoor / City etc","₩110,000",1–3 hours,,"Portraits/ headshot for business purposes with a professional light set up/ Beauty shots, family/group photos/

Event photography - Parties, Birthdays, corporatives, sports."
S01014,behighshot studio,1 week,"Branding, Business / Branding, Couple / Love Story, Family, Fashion / Editorial, Individual / Portrait",@behighshot_studio,https://www.instagram.com/behighshot_photo.video/,"English, Korean",Conversational,-,Indoor / Studio,"₩200,000",1–3 hours,,"I am a professional photographer and videographer based in Seoul, with a studio in Hongdae. Although my main area of expertise is in fashion and beauty shoots, during the 10+ year career I have also worked on many personal shoots, from couple, tourist, personal portraits to events. I worked with Localgrapher platform for a year during covid, where i shot mostly family and couple photos outside, however for the cooperation with SPHOT I would like to only focus on any shoot that is done indoors in my own studio (horizon studio) located in Hongdae."
S01015,Alen Sybill,Within 24 hours,"Couple / Love Story, Individual / Portrait, Street / Lifestyle",@nelabelache ,https://www.instagram.com/nelabelache?igsh=MWFsbWQ3MXJwcnM0NQ%3D%3D&utm_source=qr,"English, Korean, Other",Fluent,Russian,Outdoor / City etc,"₩100,000",1–3 hours,,Street-style 
S01016,Valeriy K.,1 week,"Business / Branding, Fashion / Editorial, Individual / Portrait, Street / Lifestyle",@10.10kimv,https://www.instagram.com/10.10kimv,English,Fluent,"Russian (native), Korean (2 급), English (IELTS 7.0)","Indoor / Studio, Outdoor / City etc","₩250,000",Under 1 hour,,Cinematic editorial portraits and premium lifestyle photography.
S01017,Henry Tjandra,2-3 days,"Couple / Love Story, Family, Individual / Portrait, Wedding / Engagement",@Kumadsgn,https://www.instagram.com/kumadsgn?igsh=bnEzajJzMmRjNGti&utm_source=qr,"English, Korean",Fluent,Bahasa Indonesia,"Nature / Parks, Outdoor / City etc","₩160,000",Under 1 hour,,-
S01018,Yein Kim,1 week,"Hanbok, Couple / Love Story, Event / Party, Individual / Portrait, Street / Lifestyle",@ynkm.photography,https://www.instagram.com/ynkm.photography?igsh=MTM2NHV4MGxyZzN6NQ%3D%3D&utm_source=qr,"English, Korean",Basic,.,"Historical / Landmarks, Indoor / Studio, Outdoor / City etc","₩100,000",1–3 hours,"Hanbok, Professional / High-end",.
S01019,Tiago Azinheira,1 week,"Hanbok, Couple / Love Story, Engagement / Elopement, Individual / Portrait",@awtp_seoul,https://www.instagram.com/awtp_seoul?igsh=MWluY2YzOXFvMjM5Zw%3D%3D&utm_source=qr,"English, Korean, Other",Fluent,Portuguese,"Historical / Landmarks, Outdoor / City etc","₩90,000",1–3 hours,"Hanbok, Professional / High-end, Women's Portraits",no other style description necessary
S01020,SJ Shin,2-3 days,"Fashion / Editorial, Individual / Portrait, Sports, Street / Lifestyle",@_shinsj_,instagram.com/_shinsj_,"English, Korean",Fluent,N/a,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩300,000",1–3 hours,"Aesthetic Body-focused, Professional / High-end, Sensual / Boudoir, Women's Portraits",N/a
S01021,Hyunsuk Jung,2-3 days,"Hanbok, Branding, Business / Branding, Couple / Love Story, Family, Fashion / Editorial, Individual / Portrait, Street / Lifestyle",@holyholy_studio,https://www.instagram.com/holyholy_studio,"English, Korean",Basic,Nope,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩200,000",1–3 hours,"Aesthetic Body-focused, Baby born, Business / Branding / Personal Branding, Dating Apps photo, Elopements, Hanbok, Professional / High-end, Sensual / Boudoir, Women's Portraits",Nope
S01022,Kaylee,1 week,"Hanbok, Branding, Business / Branding, Couple / Love Story, Engagement / Elopement, Family, Individual / Portrait, Street / Lifestyle, Wedding / Engagement",@Kayleellcaptures,instagram.com/kayleellcaptures,"English, Korean",Native,English and Korean,"Historical / Landmarks, Nature / Parks, Outdoor / City etc","₩140,000",1–3 hours,"Business / Branding / Personal Branding, Hanbok, Professional / High-end, Women's Portraits","Hanbok, individual portraits, personal branding, engagements, families"
S01023,Kim MinSoo,Over 2 weeks,"Hanbok, Couple / Love Story, Fashion / Editorial, Individual / Portrait",@mandori.photo,https://www.instagram.com/mandori.photo?igsh=cjJ1MDd2MzRkYTl0&utm_source=qr,"English, Korean",Fluent,A little German,"Historical / Landmarks, Indoor / Studio, Nature / Parks, Outdoor / City etc","₩75,000",Under 1 hour,"Business / Branding / Personal Branding, Hanbok, Professional / High-end, Women's Portraits",Fashion / street
